rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1576079391557303892,,57609,,1576079391,557216931,"""world""",,,-0.273899167776,0.0219716317952,0.152978539467,,0.00594878382981,-0.950808346272,-0.00498097995296,0.309682428837
1576079391578909347,,57610,,1576079391,578807518,"""world""",,,-0.277540266514,0.022083517164,0.150431454182,,0.00725199189037,-0.941827833652,-0.00457778805867,0.335986495018
1576079391597574108,,57611,,1576079391,597470887,"""world""",,,-0.281139045954,0.0222742855549,0.147958561778,,0.00844509806484,-0.932271659374,-0.00373921752907,0.361641019583
1576079391617450175,,57612,,1576079391,617370180,"""world""",,,-0.285173684359,0.0222832392901,0.145645067096,,0.00909913983196,-0.921229422092,-0.00233382708393,0.388906478882
1576079391637459820,,57613,,1576079391,637364698,"""world""",,,-0.289226174355,0.0224299952388,0.143528833985,,0.00806674640626,-0.90990281105,-0.000612727773841,0.414742588997
1576079391657638628,,57614,,1576079391,657551560,"""world""",,,-0.293263524771,0.0223709493876,0.141391009092,,0.00988326128572,-0.897822976112,-0.000390837114537,0.440245568752
1576079391677493440,,57615,,1576079391,677393738,"""world""",,,-0.297532886267,0.0224264599383,0.139355108142,,0.0108805829659,-0.884051501751,-0.000428346829722,0.467262744904
1576079391699604184,,57616,,1576079391,699479437,"""world""",,,-0.30192565918,0.0223365817219,0.137686371803,,0.00943796802312,-0.869647502899,-0.000998483737931,0.493582099676
1576079391717510103,,57617,,1576079391,717401477,"""world""",,,-0.306308954954,0.0225415993482,0.136001437902,,0.00934806000441,-0.854144155979,-0.00248240749352,0.519946396351
1576079391738261874,,57618,,1576079391,738182596,"""world""",,,-0.310808360577,0.0223442744464,0.134531617165,,0.00822455342859,-0.838286876678,-0.00430417153984,0.545150458813
1576079391757293871,,57619,,1576079391,757205174,"""world""",,,-0.315272390842,0.0223827697337,0.133267298341,,0.00640560779721,-0.821545481682,-0.00285029155202,0.570099830627
1576079391777806765,,57620,,1576079391,777734399,"""world""",,,-0.319914251566,0.0224786363542,0.132072642446,,0.00847386103123,-0.80319750309,-0.00608119973913,0.595621645451
1576079391797392896,,57621,,1576079391,797306661,"""world""",,,-0.324391156435,0.0226322021335,0.131163701415,,0.00741839734837,-0.784406244755,-0.00449519278482,0.620186924934
1576079391817436055,,57622,,1576079391,817352276,"""world""",,,-0.328826487064,0.0224912539124,0.130331709981,,0.0101329265162,-0.764371752739,-0.00244636530988,0.644691586494
1576079391837790698,,57623,,1576079391,837699174,"""world""",,,-0.333524733782,0.0225542653352,0.129751205444,,0.010290526785,-0.74317741394,-0.00243099313229,0.669010937214
1576079391857549340,,57624,,1576079391,857447138,"""world""",,,-0.338152289391,0.0222440175712,0.129382029176,,0.00801466684788,-0.721598982811,-0.000465669581899,0.692264795303
1576079391877912820,,57625,,1576079391,877828374,"""world""",,,-0.342844158411,0.022715030238,0.129099190235,,0.0101103428751,-0.698444247246,-0.00129827240016,0.715591907501
1576079391897653535,,57626,,1576079391,897530384,"""world""",,,-0.347422331572,0.0229784622788,0.129193007946,,0.00745081435889,-0.674696207047,-0.00159959413577,0.738056182861
1576079391917543428,,57627,,1576079391,917467333,"""world""",,,-0.352043509483,0.0230167657137,0.129140719771,,0.00952095538378,-0.647140443325,-0.00557255698368,0.76229095459
1576079391937597209,,57628,,1576079391,937477377,"""world""",,,-0.35659584403,0.0227066595107,0.129539072514,,0.00600647507235,-0.62155020237,-0.00384463742375,0.783341825008
