rosbagTimestamp,position,x,y,z,orientation,x,y,z,w
1576079512698323292,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079512748455598,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079512798305996,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079512848299322,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079512898354107,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079512948319431,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079512998315042,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513048571246,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513098339505,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513148428923,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513198418919,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513248685230,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513298735193,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513348649091,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513398406615,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513448588110,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513498668505,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513548688937,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513598414785,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513648637172,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513698588996,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513748434337,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513798516540,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513848386434,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513898376625,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513948305876,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079513998356255,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514048557476,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514098305558,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514148370981,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514198411184,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514248384269,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514298470174,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514348303399,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514398326481,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514448403927,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514498411755,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514548341918,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514598401913,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514648348698,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514698325366,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514748332236,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514798316240,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514848352398,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514898278620,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514948334876,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079514998318512,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515048550177,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515098248083,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515148378998,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515198324183,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515248307998,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515298302199,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515348298527,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515398333577,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515448328868,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515498370401,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515548372374,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515598345351,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515648339018,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515698410969,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515748364332,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515798342832,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515848640616,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
1576079515898433947,,1183.0,1000.0,1370.0,,1193.0,1273.0,0.0,0.0
